Years,Month,Malnourished (underweight),Normal,Malnourished (obesity)
14,0,Less than 15.5,15.5 to 25.9,More than 25.9
14,1,Less than 15.5,15.5 to 26.0,More than 26.0
14,2,Less than 15.6,15.6 to 26.1,More than 26.1
14,3,Less than 15.6,15.6 to 26.2,More than 26.2
14,4,Less than 15.7,15.7 to 26.3,More than 26.3
14,5,Less than 15.7,15.7 to 26.4,More than 26.4
14,6,Less than 15.7,15.7 to 26.5,More than 26.5
14,7,Less than 15.8,15.8 to 26.5,More than 26.5
14,8,Less than 15.8,15.8 to 26.6,More than 26.6
14,9,Less than 15.9,15.9 to 26.7,More than 26.7
14,10,Less than 15.9,15.9 to 26.8,More than 26.8
14,11,Less than 16.0,16.0 to 26.9,More than 26.9
15,0,Less than 16.0,16.0 to 27.0,More than 27.0
15,1,Less than 16.1,16.1 to 27.1,More than 27.1
15,2,Less than 16.1,16.1 to 27.1,More than 27.1
15,3,Less than 16.1,16.1 to 27.2,More than 27.2
15,4,Less than 16.2,16.2 to 27.3,More than 27.3
15,5,Less than 16.2,16.2 to 27.4,More than 27.4
15,6,Less than 16.3,16.3 to 27.4,More than 27.4
15,7,Less than 16.3,16.3 to 27.5,More than 27.5
15,9,Less than 16.4,16.4 to 27.7,More than 27.7
15,10,Less than 16.4,16.4 to 27.7,More than 27.7
15,11,Less than,16.5 to 27.8,More than 27.8
,,16.5,,
16,1,Less than 16.5,16.5 to 27.9,More than 27.9
16,2,Less than 16.6,16.6 to 28.0,More than 28.0
16,3,Less than 16.6,16.6 to 28.1,More than 28.1
16,4,Less than 16.7,16.7 to 28.1,More than 28.1
16,5,Less than 16.7,16.7 to 28.2,More than 28.2
16,6,Less than 16.7,16.7 to 28.3,More than 28.3
16,7,Less than 16.8,16.8 to 28.3,More than 28.3
16,8,Less than 16.8,16.8 to 28.4,More than 28.4
16,9,Less than 16.8,16.8 to 28.5,More than 28.5
16,10,Less than 16.9,16.9 to 28.5,More than 28.5
16,11,Less than 16.9,16.9 to 28.6,More than 28.6
17,0,Less than 16.9,16.9 to 28.6,More than 28.6
,1,Less than 17.0,17.0 to 28.7,More than 28.7
17,,,,More than 28.7
17 17,2 3,Less than 17.0 Less than 17.0,17.0 to 28.7 17.1 to 28.8,More than 28.8
17,4,Less than 17.1,17.1 to 28.9,More than 28.9
17,5,Less than 17.1,17.1 to 28.9,More than 28.9
17,6,Less than 17.1,17.1 to 29.0,More than 29.0
17,7,Less than 17.1,17.1 to 29.0,More than 29.0
17,8,Less than 17.2,17.2 to 29.1,More than 29.1
17,9,Less than 17.2,17.2 to 29.1,More than 29.1
17,10,Less than,,More than 29.2
17,11,17.2 Less than 17.3,17.2 to 29.2 17.3 to 29.2,More than 29.2
18,0,Less than 17.3,17.3 to 29.2,More than 29.2
