0,1,2,3
,Foreword,Foreword,iii
,Rationalisation of Contents in the Textbooks,Rationalisation of Contents in the Textbooks,v
,Preface,Preface,vii
1.,Real Numbers,Real Numbers,1
,1.1,Introduction,1
,1.2,The Fundamental Theorem of Arithmetic,2
,1.3,Revisiting Irrational Numbers,6
,1.4,Summary,9
2.,Polynomials,Polynomials,10
,2.1,Introduction,10
,2.2,Geometrical Meaning of the Zeroes of a Polynomial,11
,2.3,Relationship between Zeroes and Coefficients of a Polynomial,18
,2.4,Summary,23
3.,Pair of Linear Equations in Two Variables,Pair of Linear Equations in Two Variables,24
,3.1,Introduction,24
,3.2,Graphical Method of Solution of a Pair of Linear Equations,25
,3.3,Algebraic Methods of Solving a Pair of Linear Equations,30
,,3.3.1 Substitution Method,30
,,3.3.2 EliminationMethod,34
,3.4,Summary,37
4.,Quadratic Equations,Quadratic Equations,38
,4.1,Introduction,38
,4.2,Quadratic Equations,39
,4.3,Solution of a Quadratic Equation by Factorisation,42
,4.4,Nature of Roots,44
,4.5,Summary,47
5.,Arithmetic Progressions,Arithmetic Progressions,49
